ticker,name,sector,industry_category,industry_group
CF,CF Industries Holdings Inc,Basic Materials,Chemicals,Agricultural Chemicals
MOS,Mosaic Company,Basic Materials,Chemicals,Agricultural Chemicals
APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals,Chemicals - Major Diversified
CE,Celanese Corp,Basic Materials,Chemicals,Chemicals - Major Diversified
DD,DuPont de Nemours Inc,Basic Materials,Chemicals,Chemicals - Major Diversified
DOW,Dow Chemical Co.,Basic Materials,Chemicals,Chemicals - Major Diversified
EMN,Eastman Chemical Co,Basic Materials,Chemicals,Chemicals - Major Diversified
FMC,FMC Corp.,Basic Materials,Chemicals,Chemicals - Major Diversified
ALB,Albemarle Corp.,Basic Materials,Chemicals,Specialty Chemicals
IFF,International Flavors & Fragrances Inc.,Basic Materials,Chemicals,Specialty Chemicals
LYB,LyondellBasell Industries NV,Basic Materials,Chemicals,Specialty Chemicals
PPG,"PPG Industries, Inc.",Basic Materials,Chemicals,Specialty Chemicals
SHW,Sherwin-Williams Co.,Basic Materials,Chemicals,Specialty Chemicals
NBL,Noble Energy Inc,Basic Materials,Energy,Independent Oil & Gas
APA,Apache Corp.,Basic Materials,Energy,Independent Oil & Gas
COG,Cabot Oil & Gas Corp.,Basic Materials,Energy,Independent Oil & Gas
COP,Conoco Phillips,Basic Materials,Energy,Independent Oil & Gas
DVN,Devon Energy Corp.,Basic Materials,Energy,Independent Oil & Gas
EOG,"EOG Resources, Inc.",Basic Materials,Energy,Independent Oil & Gas
FANG,Diamondback Energy Inc,Basic Materials,Energy,Independent Oil & Gas
HES,Hess Corporation,Basic Materials,Energy,Independent Oil & Gas
MRO,Marathon Oil Corporation,Basic Materials,Energy,Independent Oil & Gas
OXY,Occidental Petroleum Corp.,Basic Materials,Energy,Independent Oil & Gas
PXD,Pioneer Natural Resources Co.,Basic Materials,Energy,Independent Oil & Gas
XEC,Cimarex Energy Co.,Basic Materials,Energy,Independent Oil & Gas
CVX,Chevron Corp.,Basic Materials,Energy,Major Integrated Oil & Gas
XOM,Exxon Mobil Corp.,Basic Materials,Energy,Major Integrated Oil & Gas
CXO,Concho Resources Inc,Basic Materials,Energy,Oil & Gas Drilling & Exploration
HP,"Helmerich & Payne, Inc.",Basic Materials,Energy,Oil & Gas Drilling & Exploration
FTI,TechnipFMC plc,Basic Materials,Energy,Oil & Gas Equipment & Services
HAL,Halliburton Co.,Basic Materials,Energy,Oil & Gas Equipment & Services
NOV,National Oilwell Varco Inc.,Basic Materials,Energy,Oil & Gas Equipment & Services
SLB,Schlumberger Ltd.,Basic Materials,Energy,Oil & Gas Equipment & Services
KMI,Kinder Morgan Inc,Basic Materials,Energy,Oil & Gas Pipelines
WMB,Williams Cos Inc,Basic Materials,Energy,Oil & Gas Pipelines
HFC,HollyFrontier Corp,Basic Materials,Energy,Oil & Gas Refining & Marketing
MPC,Marathon Petroleum Corp,Basic Materials,Energy,Oil & Gas Refining & Marketing
PSX,Phillips 66,Basic Materials,Energy,Oil & Gas Refining & Marketing
VLO,Valero Energy Corp.,Basic Materials,Energy,Oil & Gas Refining & Marketing
ARNC,Arconic Inc,Basic Materials,Metals & Mining,Aluminum
FCX,Freeport-McMoRan Inc,Basic Materials,Metals & Mining,Copper
NEM,Newmont Mining Corp.,Basic Materials,Metals & Mining,Gold
NUE,Nucor Corp.,Basic Materials,Metals & Mining,Steel & Iron
F,Ford Motor Co.,Consumer Goods,Automotive,Auto Manufacturers - Major
GM,General Motors Company,Consumer Goods,Automotive,Auto Manufacturers - Major
APTV,Aptiv PLC,Consumer Goods,Automotive,Auto Parts
BWA,Borg Warner Inc,Consumer Goods,Automotive,Auto Parts
LKQ,LKQ Corp,Consumer Goods,Automotive,Auto Parts
HOG,"Harley-Davidson, Inc.",Consumer Goods,Automotive,Recreational Vehicles
PCAR,Paccar Inc.,Consumer Goods,Automotive,Trucks & Other Vehicles
WHR,Whirlpool Corp.,Consumer Goods,Consumer Durables,Appliances
AVY,Avery Dennison Corp.,Consumer Goods,Consumer Durables,Business Equipment
AAPL,Apple Inc,Consumer Goods,Consumer Durables,Electronic Equipment
FBHS,Fortune Brands Home & Security Inc,Consumer Goods,Consumer Durables,Home Furnishings & Fixtures
LEG,"Leggett & Platt, Inc.",Consumer Goods,Consumer Durables,Home Furnishings & Fixtures
MHK,"Mohawk Industries, Inc.",Consumer Goods,Consumer Durables,Home Furnishings & Fixtures
CLX,Clorox Co.,Consumer Goods,Consumer Durables,Housewares & Accessories
NWL,Newell Brands Inc,Consumer Goods,Consumer Durables,Housewares & Accessories
HAS,"Hasbro, Inc.",Consumer Goods,Consumer Durables,Toys & Games
CHD,"Church & Dwight Co., Inc.",Consumer Goods,Consumer NonDurables,Cleaning Products
ECL,"Ecolab, Inc.",Consumer Goods,Consumer NonDurables,Cleaning Products
AMCR,Amcor Plc,Consumer Goods,Consumer NonDurables,Packaging & Containers
BLL,Ball Corp.,Consumer Goods,Consumer NonDurables,Packaging & Containers
IP,International Paper Co.,Consumer Goods,Consumer NonDurables,Packaging & Containers
OI,"Owens-Illinois, Inc.",Consumer Goods,Consumer NonDurables,Packaging & Containers
PKG,Packaging Corp Of America,Consumer Goods,Consumer NonDurables,Packaging & Containers
SEE,Sealed Air Corp.,Consumer Goods,Consumer NonDurables,Packaging & Containers
WRK,WestRock Co,Consumer Goods,Consumer NonDurables,Packaging & Containers
CL,Colgate-Palmolive Co.,Consumer Goods,Consumer NonDurables,Personal Products
COTY,Coty Inc,Consumer Goods,Consumer NonDurables,Personal Products
EL,"Estee Lauder Cos., Inc.",Consumer Goods,Consumer NonDurables,Personal Products
KMB,Kimberly-Clark Corp.,Consumer Goods,Consumer NonDurables,Personal Products
PG,Procter & Gamble Co.,Consumer Goods,Consumer NonDurables,Personal Products
CPRI,Capri Holdings Ltd,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
HBI,Hanesbrands Inc,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
PVH,PVH Corp,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
RL,Ralph Lauren Corp,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
UA,Under Armour Inc,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
VFC,VF Corp.,Consumer Goods,Consumer NonDurables,Textile - Apparel Clothing
NKE,"Nike, Inc.",Consumer Goods,Consumer NonDurables,Textile - Apparel Footwear & Accessories
TPR,Tapestry Inc,Consumer Goods,Consumer NonDurables,Textile - Apparel Footwear & Accessories
TAP,Molson Coors Brewing Company,Consumer Goods,Food & Beverage,Beverages - Brewers
KO,Coca-Cola Co,Consumer Goods,Food & Beverage,Beverages - Soft Drinks
MNST,Monster Beverage Corp.,Consumer Goods,Food & Beverage,Beverages - Soft Drinks
PEP,Pepsico Inc.,Consumer Goods,Food & Beverage,Beverages - Soft Drinks
BF.B,Brown-Forman Corp.,Consumer Goods,Food & Beverage,Beverages - Wineries & Distillers
STZ,Constellation Brands Inc,Consumer Goods,Food & Beverage,Beverages - Wineries & Distillers
HSY,Hershey Company,Consumer Goods,Food & Beverage,Confectioners
MDLZ,Mondelez International Inc.,Consumer Goods,Food & Beverage,Confectioners
ADM,Archer Daniels Midland Co.,Consumer Goods,Food & Beverage,Farm Products
KHC,Kraft Heinz Co,Consumer Goods,Food & Beverage,Food - Major Diversified
LW,Lamb Weston Holdings Inc,Consumer Goods,Food & Beverage,Food Wholesale
HRL,Hormel Foods Corp.,Consumer Goods,Food & Beverage,Meat Products
TSN,"Tyson Foods, Inc.",Consumer Goods,Food & Beverage,Meat Products
CAG,Conagra Brands Inc,Consumer Goods,Food & Beverage,Processed & Packaged Goods
CPB,Campbell Soup Co.,Consumer Goods,Food & Beverage,Processed & Packaged Goods
GIS,"General Mills, Inc.",Consumer Goods,Food & Beverage,Processed & Packaged Goods
K,Kellogg Co,Consumer Goods,Food & Beverage,Processed & Packaged Goods
MKC,"McCormick & Co., Inc.",Consumer Goods,Food & Beverage,Processed & Packaged Goods
SJM,J.M. Smucker Co.,Consumer Goods,Food & Beverage,Processed & Packaged Goods
